epoch,train_loss,validation_loss,validation_macro_f1,validation_accuracy,architecture,regime,seed
22,0.0259699099899109,0.0142104263236157,0.9970363355780022,0.9967159277504104,resnet50,balanced_ce,27182
23,0.025585882279282,0.0390763850374168,0.9874216332555656,0.9852216748768472,resnet50,balanced_ce,27182
24,0.0283775545544766,0.0225027261392866,0.9955555555555556,0.9950738916256158,resnet50,balanced_ce,27182
25,0.0144350413257593,0.0153463759452786,0.9944587261027886,0.9950738916256158,resnet50,balanced_ce,27182
26,0.0113154766384286,0.0532514719347933,0.9865612383718836,0.9852216748768472,resnet50,balanced_ce,27182
27,0.0138482289911928,0.0379551641774144,0.9887712161356615,0.986863711001642,resnet50,balanced_ce,27182
28,0.0142516159914681,0.0077100834714895,0.9970363355780022,0.9967159277504104,resnet50,balanced_ce,27182
29,0.0091174926629772,0.0205549942156522,0.9955555555555556,0.9950738916256158,resnet50,balanced_ce,27182
30,0.0094680828753812,0.0204414813380722,0.9940753724802804,0.993431855500821,resnet50,balanced_ce,27182
31,0.0052735643010518,0.0194773821026192,0.9942356444514716,0.993431855500821,resnet50,balanced_ce,27182
32,0.0045414625290373,0.0151480948781397,0.9955555555555556,0.9950738916256158,resnet50,balanced_ce,27182
33,0.0033484310256268,0.0135001787314241,0.9955555555555556,0.9950738916256158,resnet50,balanced_ce,27182
34,0.0030866644115771,0.0149675548812202,0.9955555555555556,0.9950738916256158,resnet50,balanced_ce,27182
1,0.924369351138968,0.7329378472564647,0.7265415848966374,0.7192118226600985,resnet50,balanced_ce,31415
2,0.7359333746253083,0.4730931968720284,0.7814899103676004,0.7471264367816092,resnet50,balanced_ce,31415
3,0.4937055236635392,0.2826899140247423,0.9078998723020998,0.8981937602627258,resnet50,balanced_ce,31415
4,0.3768856351740121,0.5358882796000964,0.792317334983659,0.7865353037766831,resnet50,balanced_ce,31415
5,0.3410866569603265,0.801074060802585,0.7793866272571471,0.7996715927750411,resnet50,balanced_ce,31415
6,0.2621824454653661,0.2146972507874562,0.9380134025039546,0.9261083743842364,resnet50,balanced_ce,31415
7,0.2230108477332365,0.0947060989857688,0.9751654065711796,0.9704433497536946,resnet50,balanced_ce,31415
8,0.2134374912520494,0.1894738154152442,0.9265432197755848,0.9326765188834154,resnet50,balanced_ce,31415
9,0.1621521056549515,0.2968208006596917,0.8931472614210044,0.8801313628899836,resnet50,balanced_ce,31415
10,0.2429227111733441,0.1981796096209039,0.9308061964142678,0.9261083743842364,resnet50,balanced_ce,31415
11,0.1661273082394172,0.1924455284656366,0.9228806686135256,0.9195402298850576,resnet50,balanced_ce,31415
12,0.1104358290070062,0.1928705222635531,0.8979364661799493,0.9064039408866996,resnet50,balanced_ce,31415
13,0.1227050252324248,0.0651095636077729,0.977829282510998,0.9770114942528736,resnet50,balanced_ce,31415
14,0.0985182279082561,0.0468986074635927,0.98611057110729,0.9835796387520526,resnet50,balanced_ce,31415
15,0.112078913504189,0.16949178346704,0.9328451065729272,0.9244663382594416,resnet50,balanced_ce,31415
16,0.0747099920262718,0.7591466524612238,0.7919003638005402,0.7947454844006568,resnet50,balanced_ce,31415
17,0.0715610990988218,0.4542895215142928,0.8746691758712437,0.8669950738916257,resnet50,balanced_ce,31415
18,0.0797531487855582,0.058537355645546,0.9818015120152844,0.9802955665024632,resnet50,balanced_ce,31415
19,0.0488378796819761,0.0817775201470054,0.9740832355551068,0.9720853858784894,resnet50,balanced_ce,31415
20,0.0453206703154904,0.0760761469844208,0.9645413576039444,0.9688013136289,resnet50,balanced_ce,31415
21,0.0608333931279144,0.0890567646650918,0.9680509447578918,0.9605911330049262,resnet50,balanced_ce,31415
22,0.0282003252976942,0.0439069865983322,0.9815885117778872,0.9770114942528736,resnet50,balanced_ce,31415
1,0.9176869980165954,0.578875881501998,0.7813631881950885,0.7717569786535303,resnet50,balanced_ce,42
2,0.7151631764242645,0.6308276563246653,0.7870896723294873,0.7783251231527094,resnet50,balanced_ce,42
3,0.529504142274756,0.282695139154229,0.9264961509966304,0.9178981937602628,resnet50,balanced_ce,42
4,0.3878695031146802,4.208139609820737,0.4792530936425202,0.5024630541871922,resnet50,balanced_ce,42
5,0.3907002166934927,0.2741003558896054,0.8917243499000468,0.896551724137931,resnet50,balanced_ce,42
